text1,text2,derived_pair,label
"Notes of blueberry , blackberry , smoked meat , and vanilla are found on the nose along with flavors of [black] cherry , blackberry compote , cinnamon , black pepper and vanilla on the palate .","black: evil, bad, unsavory",blackened cherry,0
"Flavors : dark red to [black] fruits , moderately intense and layered , complex .","black: evil, bad, unsavory",blackened fruits,0
"Crying in bravery and anguish , globally , millions upon millions forfeited their lives on [hard] , unfamiliar ground .","hard: Firm, solid, resistant to pressure, tangible",hardened on,1
"If your organisation is n’t skilled in innovation adoption , the regenerative business journey can become extremely [hard] work .","hard: Firm, solid, resistant to pressure, tangible",hardened extremely,0
"I guess I still need to wait a couple of years and meanwhile I will try as hard as I can do improve my skills on the topics I passionate about , without being [hard] on myself for not being able to do it full time .","hard: Firm, solid, resistant to pressure, tangible",hardened being,0
"A [cool] breeze through the night air flowed through her long , brown hair that hung at the back of her thighs .",cool: of or at a relatively low temperature,cooled [,1
"Place the [black] probe on ground ( or "" minus "" ) terminal of the battery .","black: evil, bad, unsavory",blackened probe,0
"These 100 % [black] assemblies have Mist King 's exclusive low flow , check valved nozzles .","black: evil, bad, unsavory",blackened assemblies,0
"It is possible to quickly run it on your [hard] drive platform , damage pad Personal computer , and in addition creative gadgets .","hard: Firm, solid, resistant to pressure, tangible",hardened platform,1
"The black shirt is stylish to a pair of well - fitted trousers , or night [black] jeans .","black: evil, bad, unsavory",blackened jeans,0
"And like family they 've given us the heads up on [cool] shows to check out , and even sent us fun surprises in the mail .",cool: of or at a relatively low temperature,cooled on,0
"Look at me , says the [black] , look how fast I go ; black here is her color of urgency , and agency , a painter ’s return , and summary , on her now - terms , after early years in Canada as an art student .","black: evil, bad, unsavory",blackened says,0
"Aromas of mocha , [black] plum and vanilla spice .","black: evil, bad, unsavory",blackened plum,0
"And after few songs I realised that it 's practically impossible to watch his movements , so I switched to watching the [cool] guitar skills of Karl Sanders or of the bassist Chris Lollis .",cool: of or at a relatively low temperature,cooled guitar,0
In House Gas co - owners Alison Patrick and Edna Sinclair believe they are in a position to capitalise on the [hard] work they have put in since assuming control .,"hard: Firm, solid, resistant to pressure, tangible",hardened work,0
Rapper Wiz Khalifa mixes [hard] work with weed anthems for San Jose concert .,"hard: Firm, solid, resistant to pressure, tangible",hardened mixes,0
"When he came to the battle , the Pawnees were having a [hard] time , because the enemy were so many .","hard: Firm, solid, resistant to pressure, tangible",hardened time,0
"The garden tower was proposed to be a fabric structure that visitors could ascend to a top platform for an overview of citywide environmental and resource issues , and then descend down through the [cool] air inside the tower to the garden below .",cool: of or at a relatively low temperature,cooled air,1
"There are no [hard] feelings or any bad blood inside the team , we just drove ourselves into a situation we could n’t get out of and something had to change .","hard: Firm, solid, resistant to pressure, tangible",hardened feelings,0
My darling giant husband purchased an external [hard] drive to ease my worry .,"hard: Firm, solid, resistant to pressure, tangible",hardened drive,1
This stuff is really [cool] and really looks like water .,cool: of or at a relatively low temperature,cooled is,0
screwdriver for [hard] to reach places ergo slim screwdrivers .,"hard: Firm, solid, resistant to pressure, tangible",hardened for,0
Check out the [cool] themed trivia events near you here in the 901 .,cool: of or at a relatively low temperature,cooled events,0
furbawl I really like the beautiful outlines in [black] the subtle weight changes and dry brush effects .,"black: evil, bad, unsavory",blackened in,0
Prisoners shuck [black] pearls from cave - oysters and slowly forget how to walk upright .,"black: evil, bad, unsavory",blackened pearls,0
"Although I ’m more of a dog person , I could sympathize with the [hard] life experienced by the stray cats and I was rooting for Billy to help find a solution .","hard: Firm, solid, resistant to pressure, tangible",hardened life,0
"Our midwife thought it was really [cool] and said a little message to the baby on the tape , too .",cool: of or at a relatively low temperature,cooled was,0
"In a food processor , purée the [black] beans until smooth .","black: evil, bad, unsavory",blackened beans,0
That 's [hard] to tell .,"hard: Firm, solid, resistant to pressure, tangible",hardened 's,0
"If you just want to backup all your Photoshop ( .psd ) files to an external [hard] drive no matter where they are located on your Mac , you could select your entire Mac ’s hard drive as one target and a folder on the external hard drive as the other target .","hard: Firm, solid, resistant to pressure, tangible",hardened files,1
"A human being capable to talk things to the face of the main responsables of this , and not to look somewhere else to evil Porsches … the ambition of the world economies are so big that they do n’t care about the people ( Elysium ) … and then we are supposed to put on green glasses to pretend the solution is to be Vegan , do Yoga and look cool … there are no Gandhis any more that speak the truth for the good of all mankind not to look [cool] but to be true to your self !",cool: of or at a relatively low temperature,cooled look,0
Deltamedia.com has its own links to many [cool] sites .,cool: of or at a relatively low temperature,cooled sites,0
"The most popular color of the Bengal is the brown / black tabby , a lackluster description for coats that can be anywhere from a [cool] grey to vibrant shades of golden , bronze , copper or mahogany with spots or marbling ranging from rich browns to intense black .",cool: of or at a relatively low temperature,cooled grey,1
Gently stir and sprinkle with freshly ground [black] pepper .,"black: evil, bad, unsavory",blackened pepper,0
They will become darker and eventually [black] due to the oxidization of skin oil ( sebum ) .,"black: evil, bad, unsavory",blackened become,0
"I like the [black] convertible skirt , very cool !","black: evil, bad, unsavory",blackened skirt,0
Pretty [cool] and stylish asymmetrical short haircut for natural light brown hair .,cool: of or at a relatively low temperature,cooled Pretty,0
"Therefore if you use your computer ’s analog out to connect to the Transparent Series speakers , the digital music from your [hard] drive is first converted to analog by your sound card ’s DAC followed immediately by the Transparent Series speaker converting the music back to digital using its internal ADC which is right back to where you started with the digital file on your hard drive .","hard: Firm, solid, resistant to pressure, tangible",hardened drive,1
"On top of all this , I am a [hard] worker and a fast learner with lots of enthusiasm , ready to take on anything that may be thrown my way .","hard: Firm, solid, resistant to pressure, tangible",hardened worker,0
That is a [hard] question but the first thing that comes to mind is my portrayal of Capt .,"hard: Firm, solid, resistant to pressure, tangible",hardened question,0
"Activating this [black] market is not normal , but it is worth it.Buynba2kmt.com to bring you a new tutorial , nba 2k17 MyTeam black market guide : How To Unlock The Secret Black Market to get diamond contracts .","black: evil, bad, unsavory",blackened market,1
"Pro tip : While most people know New Brohemia as the place to get [cool] pearl snap shirts and leather cowboy boots , they do n’t know about the shop ’s large selection of plus - sized and extra large clothing .",cool: of or at a relatively low temperature,cooled pearl,0
“ I recalled how badly [black] men were being treated during the war and I believe it ’s worse now .,"black: evil, bad, unsavory",blackened treated,0
A fuzzy [black] squirrel is sitting here scavenging for some food .,"black: evil, bad, unsavory",blackened squirrel,0
"If your health information is not readily producible in the form or format you request , your record will be provided in either our standard electronic format or , if you prefer , a readable [hard] copy form .","hard: Firm, solid, resistant to pressure, tangible",hardened form,1
Each piece came in a nice [black] bag .,"black: evil, bad, unsavory",blackened bag,0
You 're already paying a lot of money just to go on this trip and buying a lens dedicated to one vacation is a little crazy ( but [cool] as hell ! ) .,cool: of or at a relatively low temperature,cooled paying,0
I had a [hard] time getting into it .,"hard: Firm, solid, resistant to pressure, tangible",hardened time,0
A [cool] city and a great store .,cool: of or at a relatively low temperature,cooled city,0
"Nail Stickers / Wraps : On the off chance that you do n’t have room schedule - wise to make [cool] nail craftsmanship , get a premade plan and press it onto your fingertips for seeing one ’s nails .",cool: of or at a relatively low temperature,cooled craftsmanship,0
"They may also drop dough on the carpet , which is [hard] to remove and clean .","hard: Firm, solid, resistant to pressure, tangible",hardened is,0
"If you ’re having an issue with the [hard] water in your shower , you should definitely check out this filter from AquaBliss .","hard: Firm, solid, resistant to pressure, tangible",hardened water,1
"It is going to save you a bunch of time , all that [cool] stuff , right ?",cool: of or at a relatively low temperature,cooled stuff,0
"We are happy to say , we like the [black] paint and the shine is excellent .","black: evil, bad, unsavory",blackened paint,0
It is designed gracefully to give you a [cool] chic look that you can carry comfortably .,cool: of or at a relatively low temperature,cooled chic,0
"In France , for example , it ’s really [hard] to fire someone , but it ’s also hard to leave your job , and a company actually does have the right to sue you for damages if you do n’t follow the proper procedure for notifying them that you ’re quitting and if they can prove that your leaving harmed the company in some way .","hard: Firm, solid, resistant to pressure, tangible",hardened [,0
"The use of multimedia , including texts , blogposts , and emails was really [cool] and added understanding and depth , particularly as Claire tries to learn more about her family and how her mother viewed events that occurred in the past .",cool: of or at a relatively low temperature,cooled was,0
"Calcium and magnesium dissolved in water are the two most common minerals that make water "" [hard] "" .","hard: Firm, solid, resistant to pressure, tangible",hardened hard,1
"Bruce Lee once said that I pray not for an easy life , but the ability to endure a [hard] one !","hard: Firm, solid, resistant to pressure, tangible",hardened one,0
"You will find a few colors of wires inside a regular single - pole toggle switch : [black] , white , and inexperienced .","black: evil, bad, unsavory",blackened find,0
"Designed to get wet , our USP 50 + Quick - Dry bucket hat in Bright Pink will keep your baby or toddler [cool] and safe from the sun .",cool: of or at a relatively low temperature,cooled cool,1
Unlimited source of cool gadgets – discover [cool] stuff on a daily basis and choose your favorite cool gadget .,cool: of or at a relatively low temperature,cooled stuff,0
The Trustees thank them both for all the [hard] work they have done this year .,"hard: Firm, solid, resistant to pressure, tangible",hardened work,0
"Sunday will be a mainly - sunny day , yet Baton Rouge neighborhoods will stay [cool] as afternoon readings will only climb into the upper 40s to low 50s .",cool: of or at a relatively low temperature,cooled stay,1
"If you play it [cool] and pass , though , you can get a much better sale price for your home .",cool: of or at a relatively low temperature,cooled play,0
LADWP will revisit this policy at the end of the next year because the idea is to phase it out as [cool] roofing materials become the standard .,cool: of or at a relatively low temperature,cooled as,1
' She made her decision when wearing your hair natural was considered unattractive in the [black] community .,"black: evil, bad, unsavory",blackened community,0
"To an Orthodox Jew , Ron Wyatt ’s claim that the Ark was put under Calvary - site of the crucifixion of the Nazarene - is one that seems [hard] to swallow .","hard: Firm, solid, resistant to pressure, tangible",hardened seems,0
"Any way you look at it , if you have an aversion to [hard] work , you need to look elsewhere .","hard: Firm, solid, resistant to pressure, tangible",hardened work,0
And a martini glass with some water and ice in it if you want to get the martini glass nice and [cool] before you actually serve the drink .,cool: of or at a relatively low temperature,cooled glass,1
I had a [hard] time with the dark shadow areas .,"hard: Firm, solid, resistant to pressure, tangible",hardened time,0
"As a sanity check , I asked my husband who has been married to me for 28 years - "" Would you say marriage is [hard] work ? ""","hard: Firm, solid, resistant to pressure, tangible",hardened is,0
These tubes are made from synthetic fibers and can deliver [cool] air to a room without causing a draft .,cool: of or at a relatively low temperature,cooled air,1
Ford has been testing the current version of its autonomous fusion hybrid since 2013 and Toyota prius phevs new fusion energi sedan is fords newest plug in hybrid capable of making trips of up to 620 miles without having to stop for gas or to recharge the battery when starting with a Ford wants to make these [black] and whites a little greener .,"black: evil, bad, unsavory",blackened make,0
"A fast paced 3D car stunt driving game , where you get to perform the most amazing tricks and stunts in some really [cool] environments .",cool: of or at a relatively low temperature,cooled environments,0
"Hard times like that I often remember something Jean Paul Sartre said , that in hard times art , literature found a way to thrive ; but Jean Paul Sartre was referring to the Nazi occupation in France when he was talking about [hard] times and even during that occupation there was something physical .","hard: Firm, solid, resistant to pressure, tangible",hardened times,0
"But a few hours later , around the same time the state Senate is unanimously adopting a resolution denouncing the “ wanton destruction , illegal activity and disruption of our universities by revolutionaries and their supporters , ” [black] leaders tell a Union Theater rally for one thousand of the new tactic — a “ non - penetrable ” picket line , people standing in the College of Letters and Science schoolhouse doors to block anyone from getting in .","black: evil, bad, unsavory",blackened tell,0
The first [black] quarterback to win a national title was Minnesota 's Sandy Stephens in 1960 .,"black: evil, bad, unsavory",blackened quarterback,0
Tiny Gold Concentration Machine for [hard] rock gold mine mining .,"hard: Firm, solid, resistant to pressure, tangible",hardened for,1
"Fans are [cool] ( get it ? ) and stuff , but they ’re preposterously directional .",cool: of or at a relatively low temperature,cooled are,0
It 's [hard] to raise money if it is n't there ... God is faithful and He will make up the difference !,"hard: Firm, solid, resistant to pressure, tangible",hardened 's,0
Very [cool] ice photos !,cool: of or at a relatively low temperature,cooled ice,0
"Results 122 of 22 ... 15 litre container28 results from brands simplehuman , honey - can - do , milton , .... water [cool] for many hours made of food grade material racer insulated water coolers .... need price including air shipment to canada .",cool: of or at a relatively low temperature,cooled need,1
There ’s even a really [cool] Superman costume hoodie that ’s super - stylish .,cool: of or at a relatively low temperature,cooled Superman,0
It was very [hard] as I yelled to him to stay put until I got over to him .,"hard: Firm, solid, resistant to pressure, tangible",hardened was,0
"After you 've done a few rows , sprinkle with raspberry dust and let [cool] completely ( about 2 hours ) .",cool: of or at a relatively low temperature,cooled let,1
"3 Type of chicken , onion , mushroom , green pepper , [black] olives .","black: evil, bad, unsavory",blackened olives,0
It 's so [cool] to see how such old software can still run under Windows 10 .,cool: of or at a relatively low temperature,cooled 's,0
Sturdy [black] cotton straps are available in classic or |X| cross - back style and are fully adjustable .,"black: evil, bad, unsavory",blackened straps,0
"Each quarter , employees at the company vote for the person they feel goes beyond the call of duty in [hard] work and dedication towards customers and each other .","hard: Firm, solid, resistant to pressure, tangible",hardened work,0
It is [hard] enough to struggle to become the sorts of person we would hope to be .,"hard: Firm, solid, resistant to pressure, tangible",hardened is,0
RT : Why has it been so [hard] for Washington to sell to the world its case for intervention ?,"hard: Firm, solid, resistant to pressure, tangible",hardened been,0
I have a [hard] time imagining a literary world where Austen 's Mr. Darcy does n't exist .,"hard: Firm, solid, resistant to pressure, tangible",hardened time,0
It is [hard] to believe that we are at the end of term 1 .,"hard: Firm, solid, resistant to pressure, tangible",hardened is,0
"Come and enjoy with us this great film in Spanish with subtitles , learn new words in Spanish and practice conversation among [cool] amigos while enjoying some wine and empanadas ! $ 20 .",cool: of or at a relatively low temperature,cooled amigos,0
"Lundberg has a full range of equipment to optimize the recovery of soap from [black] liquor , de - aeration of the recovered soap and removal of black liquor from the soap .","black: evil, bad, unsavory",blackened liquor,0
"There were two pigtails removed from the box , and when I pigtailed the black cable3 wire to the SW2 and SW3 , and then ran the [black] cable4 to SW2 and black cable5 to SW3 , the chandelier light and outside light both work .","black: evil, bad, unsavory",blackened cable4,0
"Before buying a hard drive , you need to be sure of the type of [hard] drive that you want to purchase .","hard: Firm, solid, resistant to pressure, tangible",hardened drive,1
"The journey has been long , bumpy and turbulent but worth it … This body of work is a living proof of the result from [hard] work , tenacity and focus .","hard: Firm, solid, resistant to pressure, tangible",hardened work,0
"Jaw crusher is suitable for crushing a variety of soft and [hard] ores and rocks , whose largest compression resistance is under 320MPa .","hard: Firm, solid, resistant to pressure, tangible",hardened is,1
I still need practice with my gun but its [hard] to practice with no ammo .,"hard: Firm, solid, resistant to pressure, tangible",hardened [,0
"Variable power and temperature controls , plus a styling nozzle , allow you to tailor your blow - dry to your hair type , while a [cool] shot button helps you set your style in place with a blast of cold air .",cool: of or at a relatively low temperature,cooled [,0
"Well , every event that she hosts is super [cool] and I have to mention that she ’s pretty darn cool herself .",cool: of or at a relatively low temperature,cooled is,0
Is it so [hard] to find the “ little guy ” website full of relevant information and not just another landing page full of ads masquerading as that which our heart desires .,"hard: Firm, solid, resistant to pressure, tangible",hardened Is,0
"In my opinion , if Max were to be clearly , distinctly more successful than me , it would indicate this business needs to take a long , [hard] look at itself .","hard: Firm, solid, resistant to pressure, tangible",hardened look,0
"The Romancer is brimming with aromas of sage , black tea , ripe blackberry , blueberry muffin , graham cracker and freshly dried pipe tobacco , followed by flavors of cocoa puffs , lavender , [black] raspberry , fragrant violet and black cherry .","black: evil, bad, unsavory",blackened raspberry,0
That ’s a [cool] site Opit .,cool: of or at a relatively low temperature,cooled site,0
"It 's unfortunate because it does take you out of it when it takes 10 - 20 headshots to kill another player with the assault rifles , and it 's [hard] to suspend disbelief at that point like with games set in the future with space guns and shields and the like .","hard: Firm, solid, resistant to pressure, tangible",hardened 's,0
"ESCO Tool offers a heavy - duty I.D. clamping pipe milling end prep tool that can J - prep bevel , face , and bore all [hard] pipe alloys in preparation for orbital welding .","hard: Firm, solid, resistant to pressure, tangible",hardened alloys,1
"No one wants to see all their [hard] work go to waste , especially when it comes to baking .","hard: Firm, solid, resistant to pressure, tangible",hardened work,0
Its silky rayon material delivers a silky luxurious fit and icy [cool] feel even on those hot summer days .,cool: of or at a relatively low temperature,cooled feel,1
At 702 the system performs a standard area fill to remove areas surrounding the box by making them [black] .,"black: evil, bad, unsavory",blackened performs,0
"He helped bring things back to the essence of proper , pure trance music without the harder more aggressive EDM , dubstep and house influences that were prevalent in ' trance ' music at the time and made it [cool] to be un - cool again .",cool: of or at a relatively low temperature,cooled bring,0
"A proud man who feels trapped in his [black] skin , Jack wants a family but can not help always looking for "" the good life "" for himself .","black: evil, bad, unsavory",blackened skin,0
Grandpa also recalled General Macarthur only allowing two to three [black] men per company .,"black: evil, bad, unsavory",blackened men,0
"To the east , the [black] lava columns of the Reynisdrangar come out of the sea , and to the west the whole coastline in the direction of Selfoss is visible - depending on weather conditions .","black: evil, bad, unsavory",blackened columns,0
"Upscale Mediterranean dishes that are heavy on the Spanish and Italian influences with seasonal market ingredients , bold red and [black] color scheme , communal tables , a rainbow selection of Stokke Tripp Trapps ( if it ’s not already , this item should be included in the MoMA design collection ) , and a stroller parking area make this genius place one of Midtown ’s best options , period .","black: evil, bad, unsavory",blackened scheme,0
"Lake Travis is a beautiful lake with 44,000 acres of [cool] , clean clear water .",cool: of or at a relatively low temperature,cooled of,1
It can also cause corruption head on the [hard] drive .,"hard: Firm, solid, resistant to pressure, tangible",hardened drive,1
The booklet comes in plain [black] and white while the pictures themselves play with close ups and the typical Haw - lin smiley in the distance .,"black: evil, bad, unsavory",blackened [,0
"The Deluxe kit comes with air conditioning to keep you [cool] , no matter how hot it gets outside .",cool: of or at a relatively low temperature,cooled keep,1
Does the external [hard] drive have the same option to retrieve deleted files as a regular computer hard drive ?,"hard: Firm, solid, resistant to pressure, tangible",hardened drive,1
"For those [cool] summer nights drift off in the breeze , on a newly added Pawley 's Island swing , from the top floor screened porch overlooking the sound .",cool: of or at a relatively low temperature,cooled nights,1
"This film is very much geared towards the U.S. falling on [hard] times , but I think the real question for us is what happens when China falls on hard times , and I think that 's likely to happen fairly soon .","hard: Firm, solid, resistant to pressure, tangible",hardened on,0
"We were able to catch the last couple days of warm weather before fall officially hit , and after a very long , hot , humid summer , the rain , and crisp , [cool] air felt great !",cool: of or at a relatively low temperature,cooled air,1
I wish it was [cool] enough to wear a sweater !,cool: of or at a relatively low temperature,cooled was,1
It was [hard] ,"hard: Firm, solid, resistant to pressure, tangible",hardened was,0
Glass and [black] metal coffee table and white floor .,"black: evil, bad, unsavory",blackened metal,0
"Doina took her time and the design that emerged from all her patience and [hard] work was incredible , well beyond what I had anticipated .","hard: Firm, solid, resistant to pressure, tangible",hardened was,0
"In the same way , it is similar in the case of formatting the drive as space is not overwritten , it is more possibility that you can recover data from Western Digital external [hard] drive .","hard: Firm, solid, resistant to pressure, tangible",hardened drive,1
Had a [hard] time hearing the instructor,"hard: Firm, solid, resistant to pressure, tangible",hardened time,0
A wonderful combination of [black] and chrome plating .,"black: evil, bad, unsavory",blackened of,0
"He was [hard] enough to stop on the lead as it was , but with the new starting position rules I think he will be even harder to stop .","hard: Firm, solid, resistant to pressure, tangible",hardened was,0
"Add this to the convenience stores , sandwich shops and great value supermarket and its not [hard] to see why it has became such a popular area with students .","hard: Firm, solid, resistant to pressure, tangible",hardened Add,0
All Amulets come with [black] satin cord and information card .,"black: evil, bad, unsavory",blackened cord,0
He has a [hard] time communicating and does not always understand questions .,"hard: Firm, solid, resistant to pressure, tangible",hardened time,0
"Comes with a mixture of differently sized and coloured beads , and a [black] cord .","black: evil, bad, unsavory",blackened cord,0
"If the candle leaves the [black] soot around the edges , make sure and clean it before relighting the candle .","black: evil, bad, unsavory",blackened soot,0
20 Double Upper High Top Chucks Angled side view of folded down [black] and brick red double upper high tops .,"black: evil, bad, unsavory",blackened folded,0
""" soo it looks pretty [cool] but , it slows down my whole kindle . """,cool: of or at a relatively low temperature,cooled looks,0
These mega babe shields feature large black square lenses over a flat [black] shield frame with a strong plastic brow bar .,"black: evil, bad, unsavory",blackened frame,0
"It can be [hard] to complete the day ’s duties in a standard eight- , nine- or 10 - hour day .","hard: Firm, solid, resistant to pressure, tangible",hardened be,0
It was [hard] not to sample them after they ’d come out of the oven because they smelled incredible .,"hard: Firm, solid, resistant to pressure, tangible",hardened was,0
"With the Electronic Brushroll On / Off , move from carpet to [hard] floors with a touch of a button .","hard: Firm, solid, resistant to pressure, tangible",hardened to,1
"He was black , his clothes were [black] and the horse was coal - black .","black: evil, bad, unsavory",blackened were,0
"He has a lovely pinkish nose , ears , feet and tail and little [black] eyes to finish .","black: evil, bad, unsavory",blackened ears,0
"At first Blackie as a yearling was no more approachable than any other southern [black] racer , Coluber constrictor priapus .","black: evil, bad, unsavory",blackened racer,0
"In 1982 , he became only the second [black] military officer to be promoted to four - star general ( Daniel “ Chappie ” James in the U.S. Air Force was the first ) and the first to do so in the U.S. Army .","black: evil, bad, unsavory",blackened officer,0
This is a [cool] section .,cool: of or at a relatively low temperature,cooled section,0
"Whether you enjoy a crisp , [cool] day , or a bright and sunny sky , Goochland offers beautiful weather no matter what season it is .",cool: of or at a relatively low temperature,cooled day,1
The hose attaches to the rear blower port allowing you to blow the dirt out of [hard] to reach places .,"hard: Firm, solid, resistant to pressure, tangible",hardened blow,0
"A smaller business may simply back up files to a CD or external [hard] disk , or a larger one may back them up to a redundant storage server .","hard: Firm, solid, resistant to pressure, tangible",hardened disk,1
"Has some [hard] to see , minor scratches along the stainless steel edging as well as on the cast iron grates .","hard: Firm, solid, resistant to pressure, tangible",hardened Has,0
"Everyone this morning pushed it [hard] to give the mission their best shot , even though they had to report the dead animals over the radio .","hard: Firm, solid, resistant to pressure, tangible",hardened pushed,0
This is particularly [hard] when the birthmother 's extended family is against the idea of adoption .,"hard: Firm, solid, resistant to pressure, tangible",hardened is,0
Steel Tigers will have a [hard] time living up to that .,"hard: Firm, solid, resistant to pressure, tangible",hardened time,0
Click here to see all the [cool] products they offer .,cool: of or at a relatively low temperature,cooled products,0
"The island is populated with stray dogs that will let you play with them , particularly in Oia , my favorite part of Santorini and the upper side of the island , and at Perissa Beach , the popular [black] sand beach , where I found a stray and named him Demetrius .","black: evil, bad, unsavory",blackened beach,0
"To wire the enthusiast , it is really merely a matter of connecting the [black] wire from the ceiling fan into the black wire with the swap .","black: evil, bad, unsavory",blackened wire,0
"During this dynamic period , Li ’s model shows , [black] holes suddenly became a lot more star - friendly .","black: evil, bad, unsavory",blackened became,0
"While older potential guardians might be financially situated and have more free time to engage in child raising , they might also have a [hard] time connecting with children .","hard: Firm, solid, resistant to pressure, tangible",hardened time,0
"Another [cool] related site is breathingearth.net , which shows CO2 emissions , births , and deaths in simulated real time around the world .",cool: of or at a relatively low temperature,cooled site,0
"This 2011 Aston Martin DBS Carbon Black Edition presented in Carbon Black with [black] leather interior and black piano wood has a large specification including sat nav , 2 + 2 seats , custom tread plates , unique sill plaques and auto dimming rear view mirror .","black: evil, bad, unsavory",blackened interior,0
"It ’s a long term process , involving many hours of research , [hard] work and dedication to improve the communication between your website and a search engines algorithm , such as Google ’s .","hard: Firm, solid, resistant to pressure, tangible",hardened work,0
"The magnetic field inhibits convection , or the distribution of heat , resulting in a [cool] sunspot ( Tayler 29 ) .",cool: of or at a relatively low temperature,cooled sunspot,1
The Myers piece appears to have been given a [cool] reception on Twitter .,cool: of or at a relatively low temperature,cooled reception,1
"Lord Stranleigh met them in the corridor apparently [cool] and unexcited , there ’s nothing to do .",cool: of or at a relatively low temperature,cooled met,1
"Hoy – True , I was a bit apprehensive about doing the first trip just because I did n’t know what to expect , but once I did it , I was so stoked not only with the waves and the resort , but with all the [cool] people I met and the good times we had .",cool: of or at a relatively low temperature,cooled people,0
Enjoy a refreshing dip in the [cool] water of Premier Lake .,cool: of or at a relatively low temperature,cooled water,1
"While many use the term to describe a flight recorder , a [black] box is an intelligent and complex device that records information that the user can not .","black: evil, bad, unsavory",blackened box,0
"Pretty [cool] guy , I got a copy to review and I highly recommend !",cool: of or at a relatively low temperature,cooled guy,0
Insider tip : track it all and do n’t be [hard] on yourself .,"hard: Firm, solid, resistant to pressure, tangible",hardened be,0
"If he continues with the form he displayed in Shanghai last week , then it ’s [hard] to look past him at the O2 Arena .","hard: Firm, solid, resistant to pressure, tangible",hardened hard,0
"I ordered a long [black] , not too long .","black: evil, bad, unsavory",blackened ordered,0
It ’s [hard] to fault Tuch for smiling .,"hard: Firm, solid, resistant to pressure, tangible",hardened [,0
"Yogurt , slow braised , green and [black] cardamon and spices .","black: evil, bad, unsavory",blackened cardamon,0
"For example most hard disks that have a partition table but do n't yet have an operating system installed will still have a valid boot sector , and when that boot sector is executed , it will display a message something like "" BOOT DISK FAILURE , PRESS ANY KEY "" , and wait there "" forever "" until a key is pressed , after which the bootstrap code that was loaded from the hard disk will again attempt to boot from the same [hard] disk ad infinitum until the guest is manually restarted .","hard: Firm, solid, resistant to pressure, tangible",hardened infinitum,1
"Layout of the black stripes is different to the earlier "" Legacy of Bumblebee "" recolor version which also featured movie inspired [black] stripes .","black: evil, bad, unsavory",blackened stripes,0
Vibrating Fluid Bed Dryers – [cool] and dry a wide range of material types at a variety of feed rates .,cool: of or at a relatively low temperature,cooled Vibrating,1
"If you use the custom printed post - it notes , you would not find it [hard] to identify the post - it notes .","hard: Firm, solid, resistant to pressure, tangible",hardened find,0
This is sturdy [black] vinyl covered wood .,"black: evil, bad, unsavory",blackened vinyl,0
"It � s a [cool] idea , especially since all of the icons , locations , and even the graphics change afterward , but really it � s just changing the fluff of what ...",cool: of or at a relatively low temperature,cooled idea,0
There are lots of [cool] photos in all 3 sections .,cool: of or at a relatively low temperature,cooled of,0
You ’re a [hard] worker yourself .,"hard: Firm, solid, resistant to pressure, tangible",hardened worker,0
"Simply remove your CD - ROM / DVDRW drive and put the laptop caddy ( with the added [hard] drive ) in it 's place , then there are two hard drives in laptop .","hard: Firm, solid, resistant to pressure, tangible",hardened drive,1
"Then they build a fire all around him ; and in order to make the fire - surrounded [black] antelope , mentioned in the text , they remove the stakes from time to time , and set the man on his protruding bones .","black: evil, bad, unsavory",blackened antelope,0
It was [hard] to convince them to stop even after the adults had gone into the hall to enjoy a delicious lunch of homemade soup and bread rolls .,"hard: Firm, solid, resistant to pressure, tangible",hardened was,0
"PS Let me know if you ’re [cool] for me to share brands like this , that I genuinely support , and then offer discounts .",cool: of or at a relatively low temperature,cooled Let,0
"The deal is a win - win situation - the shop gets a [cool] lamp they can display in their space , and Kinetic Additions gets exposure for their product .",cool: of or at a relatively low temperature,cooled lamp,0
A high degree of hard disk fragmentation can lead to decreased [hard] disk performance .,"hard: Firm, solid, resistant to pressure, tangible",hardened performance,1
"Soils in which the carbonate is evident only as a slight to moderate effervescence ( 1 M HCl ) , and/or contain less than 2 % soft finely divided carbonate , and have less than 20 % [hard] carbonate nodules or concretions .","hard: Firm, solid, resistant to pressure, tangible",hardened carbonate,1
Fabric gives [cool] feeling after biopolishing .,cool: of or at a relatively low temperature,cooled feeling,1
"Compare prices of North face resolve jacket [black] black , Blue Men 's Outerwear and buy your new North face resolve jacket black black , Blue Men 's Outerwear at a good price .","black: evil, bad, unsavory",blackened [,0
"Talking black watch with matching plastic band , 1/4 inch [black] numbers on LCD display , female voice .","black: evil, bad, unsavory",blackened numbers,0
"Besides being breathable , lightweight , and sweat absorbing , this silky material offers a luxurious fit and icy [cool] feel even on those hot summer days .",cool: of or at a relatively low temperature,cooled feel,1
He was trying too [hard] to make me believe what he was saying .,"hard: Firm, solid, resistant to pressure, tangible",hardened trying,0
All our patio doors come standard with [black] fibreglass mesh insect screens .,"black: evil, bad, unsavory",blackened mesh,0
This 100 % cotton unisex standard size tee is [black] and is screen printed by hand in faded red ink .,"black: evil, bad, unsavory",blackened is,0
It has thumbholes and is perfect for a [cool] day !,cool: of or at a relatively low temperature,cooled day,1
"The content includes weekly tax tips , client case studies , how - to videos , white papers , QuickBooks webinars , and tax planning guides that engage your audience and develop relationships versus the [hard] sell .","hard: Firm, solid, resistant to pressure, tangible",hardened the,0
